"LOCATION" "FINAL_MARGIN" "SHOT_NUMBER" "PERIOD" "DRIBBLES" "TOUCH_TIME" "SHOT_DIST" "PTS_TYPE" "SHOT_RESULT" "CLOSE_DEF_DIST"
"144" "H" 8 15 3 3 3.1 28.3 3 "missed" 5.3
"145" "H" 8 16 3 3 2 11.6 2 "made" 3.3
"146" "H" 8 17 3 0 1.1 25.9 3 "made" 5.3
"147" "H" 8 18 3 0 0.9 3.5 2 "made" 3
"148" "H" 8 19 3 0 0.9 24.9 3 "missed" 8.1
"149" "H" 8 20 3 6 5.4 25.6 3 "missed" 6.4
"150" "H" 8 21 3 0 1.1 26.7 3 "missed" 8.9
"151" "H" 8 22 4 0 0.7 25 3 "made" 5.2
"152" "H" 8 23 4 0 0.8 9.1 2 "missed" 0.8
"153" "H" 8 24 4 0 0.8 25.7 3 "missed" 5.4
"154" "H" 8 25 4 0 0.7 23.8 3 "made" 5.2
"155" "H" 8 26 4 3 3.5 3.4 2 "made" 3.4
"156" "H" 8 27 4 7 4.6 18.3 2 "missed" 4.1
"157" "H" 8 28 4 5 4.5 4 2 "missed" 0
"158" "H" 8 29 5 0 0.7 24.6 3 "missed" 4.1
"159" "H" 8 30 5 2 1.7 3 2 "made" 5.4
"160" "H" 8 31 5 11 10 17.2 2 "missed" 5.2
"161" "A" 16 1 1 1 1.7 0.3 2 "made" 1
"162" "A" 16 2 1 1 1.7 25.1 3 "missed" 5.9
"163" "A" 16 3 1 0 0.5 23 3 "made" 3.5
"164" "A" 16 4 1 4 4 28.8 3 "missed" 5.4
"165" "A" 16 5 1 2 2 14.7 2 "missed" 2.1
"166" "A" 16 6 2 0 0.7 24.6 3 "missed" 3.7
"167" "A" 16 7 2 6 4.8 4.1 2 "made" 2.6
"168" "A" 16 8 2 9 5.1 6.3 2 "missed" 3.5
"169" "A" 16 9 2 24 19.9 27.8 3 "missed" 4.9
"170" "A" 16 10 3 3 2.7 12.5 2 "missed" 2.8
"171" "A" 16 11 3 0 0 23.2 2 "made" 4.2
"172" "A" 16 12 3 12 10 25 3 "missed" 3.8
"173" "A" 16 13 3 2 2.8 20.5 2 "missed" 7.1
"174" "A" 16 14 3 0 2.8 14 2 "missed" 2
"175" "A" 16 15 3 2 2.9 6 2 "made" 3.2
"176" "A" 16 16 3 5 5.6 28.1 3 "made" 4
"177" "A" 16 17 3 6 4.9 28.9 3 "missed" 4.5
"178" "A" 16 18 3 18 15.1 3.7 2 "made" 1.1
"179" "A" 16 19 3 3 3.6 33.8 3 "made" 3.6
"180" "A" 16 20 4 0 1 23.1 3 "missed" 5
"181" "A" 16 21 4 3 3.8 3.9 2 "made" 4
"182" "H" 14 1 1 4 5 13.4 2 "made" 4.4
"183" "H" 14 2 1 2 1.9 6.7 2 "missed" 4.5
"184" "H" 14 3 1 1 1.9 17.4 2 "missed" 4.8
"185" "H" 14 4 1 2 2.5 9.6 2 "missed" 0.4
"186" "H" 14 5 1 2 2.7 22.7 3 "missed" 4
"187" "H" 14 6 2 0 0.8 25 3 "made" 4
"188" "H" 14 7 2 8 7.5 14.8 2 "missed" 4.2
"189" "H" 14 8 2 3 3.9 2.4 2 "made" 1.5
"190" "H" 14 9 2 7 7.7 24.1 3 "missed" 7.2
"191" "H" 14 10 2 16 15.5 2.7 2 "made" 3.5
"192" "H" 14 11 3 9 6.9 1.8 2 "missed" 1.7
"193" "H" 14 12 3 0 0.8 21.9 3 "missed" 3.7
"194" "H" 14 13 3 1 1.4 25.1 3 "made" 4.4
"195" "H" 14 14 3 0 1.6 24.6 3 "missed" 3.7
"196" "H" 14 15 3 2 2.8 4.5 2 "missed" 0.1
"197" "H" 14 16 3 1 1.1 19.8 2 "missed" 5.5
"198" "H" 14 17 3 17 15.8 12.9 2 "made" 4.1
"199" "H" 14 18 4 13 10.4 26.1 3 "made" 4.3
"200" "A" 9 1 1 0 0.7 28.3 3 "missed" 4.2
"201" "A" 9 2 1 0 1.1 17.5 2 "missed" 2
"202" "A" 9 3 1 0 1.8 3.7 2 "made" 2.3
"203" "A" 9 4 1 1 1.2 28.1 3 "missed" 5.4
"204" "A" 9 5 1 0 0.8 23.1 3 "missed" 3.8
"205" "A" 9 6 2 0 1.2 26.8 3 "missed" 12
"206" "A" 9 7 3 0 0.7 23.1 2 "made" 4.4
"207" "A" 9 8 3 8 6.5 11.5 2 "made" 2.7
"208" "A" 9 9 3 6 5.4 26.9 3 "missed" 1
"209" "A" 9 10 3 5 4.9 2.2 2 "made" 2.9
"210" "A" 9 11 3 0 0.9 23.6 3 "missed" 6.3
"211" "A" 9 12 3 1 2.1 24.2 3 "missed" 5.4
"212" "A" 9 13 3 9 6.1 10.1 2 "made" 3.7
"213" "A" 9 14 3 3 3.6 4.3 2 "made" 2.2
"214" "A" 9 15 3 0 0.7 23.6 3 "missed" 7.1
"215" "A" 9 16 4 1 2 16.3 2 "missed" 2.3
"216" "A" 9 17 4 0 0.8 25.8 3 "made" 2.8
"217" "A" 9 18 4 0 1 23 3 "made" 10.5
"218" "H" 15 1 1 0 1.5 26.2 3 "missed" 6.9
"219" "H" 15 2 1 1 1.5 2.6 2 "missed" 3.8
"220" "H" 15 3 1 0 0.6 22.5 3 "made" 3.4
"221" "H" 15 4 1 0 0.6 23.9 3 "missed" 5.5
"222" "H" 15 5 1 1 1.6 28.8 3 "made" 5
"223" "H" 15 6 1 1 1.7 24.4 3 "made" 7.4
"224" "H" 15 7 1 5 4.7 14.9 2 "missed" 5
"225" "H" 15 8 1 0 1 22.5 3 "missed" 6.8
